symbol,date,price,daily_change_pct,rsi,ema_20,ema_50,ema_200,macd,macd_signal,volume_ratio,support,resistance,atr,entry_low,entry_high,stop_loss,target_1,target_2,target_3,risk_reward_to_target1,score,max_score,signal,breakout,reasons
ADANIENSOL,2026-09-15,1362.7,-0.75,31.94,1460.19,1514.74,1327.32,-60.406,-52.9281,0.11,1348.0,1637.0,49.36,1362.7,1362.7,1288.66,1473.75,1547.79,1621.83,1.5,2.0,10.0,AVOID,False,Price > long EMA; Near support
ADANIGREEN,2026-09-15,1265.6,-1.23,40.88,1303.82,1345.47,1245.1,-23.4679,-27.4036,0.29,1214.9,1346.8,37.64,1233.12,1265.6,1202.75,1359.87,1422.72,1485.57,1.5,2.0,10.0,AVOID,False,Price > long EMA; MACD bullish
ADANIPOWER,2026-09-15,204.63,-2.54,45.27,208.34,210.33,191.62,-0.3086,-0.836,0.37,198.0,217.4,5.82,200.97,204.63,195.9,217.72,226.45,235.17,1.5,2.0,10.0,AVOID,False,Price > long EMA; MACD bullish
ASHOKLEY,2026-09-15,160.12,-2.22,33.27,168.96,167.52,163.99,-1.3496,0.3815,0.76,158.4,181.84,4.38,160.12,160.12,153.55,169.98,176.55,183.12,1.5,2.0,10.0,AVOID,False,Fast EMA > slow EMA; Near support
BAJAJFINSV,2026-09-15,1877.1,-1.9,32.16,1961.11,1944.91,1918.7,-17.1437,-2.0865,0.43,1871.5,2032.5,36.89,1877.1,1877.1,1821.77,1960.1,2015.44,2070.77,1.5,2.0,10.0,AVOID,False,Fast EMA > slow EMA; Near support
BHARATFORG,2026-09-15,1903.6,-2.12,33.48,2010.31,2047.97,1853.06,-44.794,-36.0331,0.16,1898.2,2104.9,52.02,1903.6,1903.6,1825.57,2020.64,2098.67,2176.7,1.5,2.0,10.0,AVOID,False,Price > long EMA; Near support
CHOLAFIN,2026-09-15,1802.6,-2.35,42.63,1844.96,1817.49,1699.72,-3.6365,3.093,0.96,1773.5,1925.0,46.69,1800.1,1802.6,1732.56,1907.66,1977.7,2047.74,1.5,2.0,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA
CONCOR,2026-09-15,490.1,-1.83,39.27,506.64,503.31,501.99,-2.3538,0.2294,0.21,488.45,524.85,11.82,490.1,490.1,472.37,516.7,534.44,552.17,1.5,2.0,10.0,AVOID,False,Fast EMA > slow EMA; Near support
DLF,2026-09-15,630.1,-2.23,34.52,664.32,657.04,651.34,-2.9437,2.9794,0.49,626.85,691.05,17.47,630.1,630.1,603.89,669.41,695.61,721.82,1.5,2.0,10.0,AVOID,False,Fast EMA > slow EMA; Near support
EXIDEIND,2026-09-15,415.3,0.64,37.16,432.23,432.37,396.89,-9.8441,-6.5764,0.47,409.7,477.6,11.78,415.3,415.3,397.63,441.81,459.48,477.15,1.5,2.0,10.0,AVOID,False,Price > long EMA; Near support
ICICIBANK,2026-09-15,1357.1,-1.61,32.09,1408.82,1405.81,1372.91,-10.9689,-3.1522,0.61,1351.3,1454.0,22.61,1357.1,1357.1,1323.19,1407.96,1441.87,1475.78,1.5,2.0,10.0,AVOID,False,Fast EMA > slow EMA; Near support
INDIANB,2026-09-15,842.35,-1.31,38.4,867.96,862.28,844.67,-2.0949,3.7648,0.3,835.0,906.7,20.4,842.35,842.35,811.75,888.25,918.85,949.46,1.5,2.0,10.0,AVOID,False,Fast EMA > slow EMA; Near support
JUBLFOOD,2026-09-15,465.7,-0.97,40.98,481.24,471.79,490.02,-0.8327,4.1583,0.25,463.05,527.85,12.47,465.7,465.7,447.0,493.76,512.46,531.16,1.5,2.0,10.0,AVOID,False,Fast EMA > slow EMA; Near support
NATIONALUM,2026-09-15,356.2,-1.33,39.23,374.75,374.79,354.13,-3.3194,0.2335,0.49,352.35,405.0,11.96,356.2,356.2,338.27,383.1,401.04,418.97,1.5,2.0,10.0,AVOID,False,Price > long EMA; Near support
NESTLEIND,2026-09-15,1376.2,-0.51,31.56,1426.75,1442.6,1375.1,-25.0907,-17.8046,0.7,1365.5,1514.8,29.42,1376.2,1376.2,1332.07,1442.39,1486.52,1530.65,1.5,2.0,10.0,AVOID,False,Price > long EMA; Near support
